utb_ms,ute_ms,type,flagcomms
1278723155000,1278730713000,"EARTH","TRUE"
1278730713000,1278737116000,"EARTH","FALSE"
1278737116000,1278738288000,"SLEW","FALSE"
1278738288000,1278742028000,"ACROSS_TRACK","FALSE"
1278742028000,1278742774000,"SLEW","FALSE"
1278742774000,1278750109000,"EARTH","FALSE"
1278750109000,1278755509000,"MAINTENANCE","FALSE"
1278755509000,1278763060000,"EARTH","FALSE"
1278763060000,1278764066000,"SLEW","FALSE"
1278764066000,1278767926000,"NADIR","FALSE"
1278767926000,1278768811000,"SLEW","FALSE"
1278768811000,1278769726000,"EARTH","FALSE"
1278769726000,1278788952000,"EARTH","TRUE"
1278788952000,1278789012000,"EARTH","FALSE"
1278789012000,1278792978000,"EARTH","FALSE"
1278792978000,1278797310000,"EARTH","TRUE"
1278797310000,1278812639000,"EARTH","FALSE"
1278812639000,1278813818000,"SLEW","FALSE"
1278813818000,1278817558000,"NADIR","FALSE"
1278817558000,1278818300000,"SLEW","FALSE"
1278818300000,1278825639000,"EARTH","FALSE"
1278825639000,1278831039000,"MAINTENANCE","FALSE"
1278831039000,1278837816000,"EARTH","FALSE"
1278837816000,1278838996000,"SLEW","FALSE"
1278838996000,1278842736000,"NADIR","FALSE"
1278842736000,1278843476000,"SLEW","FALSE"
1278843476000,1278844142000,"EARTH","FALSE"
1278844142000,1278845122000,"SLEW","FALSE"
1278845122000,1278846042000,"INERTIAL","FALSE"
1278846042000,1278847023000,"SLEW","FALSE"
1278847023000,1278848250000,"EARTH","FALSE"
1278848250000,1278853648000,"EARTH","TRUE"
1278853648000,1278865281000,"EARTH","FALSE"
1278865281000,1278865797000,"SLEW","FALSE"
1278865797000,1278869837000,"ACROSS_TRACK","FALSE"
1278869837000,1278870875000,"SLEW","FALSE"
1278870875000,1278871649000,"EARTH","FALSE"
1278871649000,1278888882000,"EARTH","TRUE"
1278888882000,1278888942000,"EARTH","FALSE"
1278888942000,1278889955000,"SLEW","FALSE"
1278889955000,1278892495000,"NADIR","FALSE"
1278892495000,1278893519000,"SLEW","FALSE"
1278893519000,1278894319000,"INERTIAL","FALSE"
1278894319000,1278894926000,"SLEW","FALSE"
1278894926000,1278903208000,"EARTH","FALSE"
1278903208000,1278914426000,"EARTH","TRUE"
1278906439000,1278913461000,"RADIO_SCIENCE","TRUE"
1278914426000,1278915314000,"EARTH","FALSE"
1278915314000,1278915483000,"SLEW","FALSE"
1278915483000,1278918293000,"INERTIAL","FALSE"
1278918293000,1278918462000,"SLEW","FALSE"
1278918462000,1278938810000,"EARTH","FALSE"
1278938810000,1278939458000,"SLEW","FALSE"
1278939458000,1278940378000,"INERTIAL","FALSE"
1278940378000,1278941026000,"SLEW","FALSE"
1278941026000,1278942700000,"EARTH","FALSE"
1278942700000,1278943124000,"SLEW","FALSE"
1278943124000,1278943864000,"INERTIAL","FALSE"
1278943864000,1278944251000,"SLEW","FALSE"
1278944251000,1278951522000,"EARTH","FALSE"
1278951522000,1278956922000,"MAINTENANCE","FALSE"
1278956922000,1278964459000,"EARTH","FALSE"
1278964459000,1278965476000,"SLEW","FALSE"
1278965476000,1278969336000,"NADIR","FALSE"
1278969336000,1278970209000,"SLEW","FALSE"
1278970209000,1278991138000,"EARTH","FALSE"
1278991138000,1278991676000,"SLEW","FALSE"
1278991676000,1278995716000,"ACROSS_TRACK","FALSE"
1278995716000,1278997856000,"SLEW","FALSE"
1278997856000,1279001877000,"INERTIAL","FALSE"
1279001877000,1279007277000,"MAINTENANCE","FALSE"
1279007277000,1279014043000,"EARTH","FALSE"
1279014043000,1279015233000,"SLEW","FALSE"
1279015233000,1279018973000,"NADIR","FALSE"
1279018973000,1279019702000,"SLEW","FALSE"
1279019702000,1279022534000,"EARTH","FALSE"
1279022534000,1279038496000,"EARTH","FALSE"
1279038496000,1279039815000,"SLEW","FALSE"
